ET,SA,SR,IA,FZ,V,P ,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
s,rad,-,rad,N,m/s,Pa,m,1/m,N,N,Nm,Nm,Nm,m,m,m,m
0,-0.1568471,-0.990722783,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-23.91158734,2064.631545,-30.10324616,0,-15.07900233,-767.1476496,0.19252689,0,0
0,-0.152074662,-0.982058598,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-17.73893402,2100.007111,-30.06285033,0,-15.11692912,-1418.09983,0.194343312,0,0
0,-0.146080205,-0.987484252,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-26.48414449,2069.527188,-30.03803957,0,-18.79270656,-947.2547988,0.193250221,0,0
0,-0.1409911,-0.995008581,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-27.00107602,2034.815193,-29.92618294,0,-20.05431187,-617.4698729,0.19177313,0,0
0,-0.135815688,-0.982116938,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-18.35680108,2065.237181,-29.63477131,0,-19.03514495,-1329.746853,0.194451274,0,0
0,-0.130303222,-0.990063083,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-24.31677879,2029.869676,-29.4715587,0,-22.23980419,-221.4517739,0.192932995,0,0
0,-0.125643794,-1.002633271,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-27.8732971,1982.095379,-29.50076586,0,-24.34067988,-1679.065428,0.190481472,0,0
0,-0.11945528,-0.991489194,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-20.24559488,1990.024713,-29.03497486,0,-23.58341609,-1317.763751,0.192819345,0,0
0,-0.113230018,-0.982667372,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-22.22155243,1994.055172,-28.4372913,0,-27.31702373,-2238.417523,0.194709369,0,0
0,-0.109443227,-1.006371091,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-25.67205244,1905.15643,-28.97608991,0,-28.97215068,-1548.828924,0.190028771,0,0
0,-0.103492195,-0.99143388,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-20.85234603,1921.165134,-28.15473107,0,-29.37449814,-341.8207853,0.193169152,0,0
0,-0.097063465,-0.982049394,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-21.21370398,1913.116893,-27.35777993,0,-32.79008468,-948.1289453,0.195190803,0,0
0,-0.09321232,-1.006277779,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-23.611923,1811.470526,-28.03008568,0,-34.03217125,-354.3542582,0.190461481,0,0
0,-0.087509967,-0.989751372,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-21.57864968,1825.118829,-27.05009124,0,-35.81811633,579.8261647,0.193920946,0,0
0,-0.08095584,-0.978022994,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-21.29521217,1807.333885,-25.63953815,0,-39.2064698,-1280.05194,0.196455391,0,0
0,-0.076859167,-1.003762701,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-24.12460001,1681.138479,-26.09866652,0,-39.05992365,-1817.383859,0.191432251,0,0
0,-0.071246276,-0.985663506,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-24.54064423,1681.645501,-25.19378467,0,-41.13445288,-626.9685032,0.195242365,0,0
0,-0.064772528,-0.976426104,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-24.70860551,1624.552986,-23.81411474,0,-42.28321917,-968.7202163,0.197315657,0,0
0,-0.060566686,-0.992191929,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-27.43418351,1521.288354,-23.43683606,0,-41.53776127,-1566.362475,0.194409797,0,0
0,-0.055643226,-0.989491181,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-27.15711948,1450.130807,-22.14026977,0,-41.0080074,-377.0996101,0.195014871,0,0
0,-0.049204394,-0.985135817,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-29.13487751,1351.983788,-20.91647738,0,-40.55086667,-45.57715616,0.196143158,0,0
0,-0.043608565,-0.978410856,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-27.02131558,1266.79995,-19.40000687,0,-39.02397145,-1133.966592,0.197847336,0,0
0,-0.038859849,-1.004974479,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-35.31586898,1098.450299,-18.49054398,0,-35.50085103,-117.0767181,0.19252192,0,0
0,-0.03340824,-0.990439849,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-38.66298438,1012.656146,-16.69503983,0,-36.71362108,-1621.893245,0.19552976,0,0
0,-0.027840485,-0.990370069,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-31.79233104,875.1197683,-14.91595263,0,-29.7540843,1101.024609,0.195908739,0,0
0,-0.022126198,-0.995320793,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-39.38808447,696.2669676,-13.24211338,0,-24.78903964,-348.3444905,0.195048959,0,0
0,-0.016852411,-0.988912628,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-48.26382773,549.4605438,-10.94103224,0,-22.38844191,-1490.724201,0.19627392,0,0
0,-0.011590991,-0.986679675,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-43.57563554,396.9720904,-8.561187918,0,-16.31832319,-594.7425626,0.197039105,0,0
0,-0.006288032,-0.99039298,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-47.40155403,200.2517984,-6.527206055,0,-8.527225816,501.0080252,0.196190265,0,0
0,-0.001083173,-0.991520198,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-49.45513568,10.0967374,-4.144384677,0,-2.32204161,419.7707067,0.195841917,0,0
0,0.004369922,-1.006299205,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-38.9628775,-167.7731581,-2.195242995,0,7.393255938,-24.9673083,0.193074262,0,0
0,0.009565547,-0.999105841,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-43.64592358,-324.8860839,0.437344759,0,10.24669226,1661.134171,0.194425553,0,0
0,0.015231438,-1.010950611,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-40.54943756,-493.1418918,2.232295244,0,15.458696,-41.19185106,0.192192414,0,0
0,0.020892491,-1.020113823,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-32.52628136,-649.9893811,3.686355838,0,23.63682469,-56.80689238,0.190479719,0,0
