RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-240.91,-9.144,16.46,525.66,A2356raw15.mat_Line1647,567.970485207242
25,12,0,-242.18,-9.235,16.47,384.68,A2356raw14.mat_Line1648,571.172888492445
25,12,0,-241.05,-9.311,16.48,381.58,A2356raw14.mat_Line1649,568.244978801838
25,12,0,-242.28,-9.396,16.49,384.83,A2356raw14.mat_Line1650,571.349343031013
25,12,0,-243.09,-9.48,16.5,391.8,A2356raw14.mat_Line1651,573.381795565057
25,12,0,-244.34,-9.543,16.51,401.1,A2356raw14.mat_Line1652,576.552664116236
25,12,0,-245.48,-9.625,16.52,409.78,A2356raw14.mat_Line1653,579.435306614683
25,12,0,-246.56,-9.714,16.53,416.44,A2356raw14.mat_Line1654,582.163245061871
25,12,0,-247.26,-9.791,16.54,418.33,A2356raw14.mat_Line1655,583.923744502314
25,12,0,-246.42,-9.864,16.55,414.14,A2356raw14.mat_Line1656,581.735858871983
25,12,0,-246.41,-9.955,16.56,405.61,A2356raw14.mat_Line1657,581.66981376466
25,12,0,-244.57,-10.024,16.57,394.59,A2356raw14.mat_Line1658,576.92461583911
25,12,0,-242.99,-10.106,16.58,385.29,A2356raw14.mat_Line1659,572.845784210901
25,12,0,-242.51,-10.19,16.59,381.11,A2356raw14.mat_Line1660,571.583290113187
25,12,0,-242.46,-10.269,16.6,383.11,A2356raw14.mat_Line1661,571.423239318891
25,12,0,-243.42,-10.362,16.61,391.03,A2356raw14.mat_Line1662,573.841137875251
25,12,0,-244.41,-10.444,16.62,401.87,A2356raw14.mat_Line1663,576.34205116096
25,12,0,-243.78,-10.518,16.63,542.25,A2356raw15.mat_Line1664,574.700823116149
25,12,0,-247.25,-10.6,16.64,419.71,A2356raw14.mat_Line1665,583.557238093482
25,12,0,-247.63,-10.683,16.65,422.19,A2356raw14.mat_Line1666,584.499761023317
25,12,0,-248.17,-10.76,16.66,418,A2356raw14.mat_Line1667,585.855650032967
25,12,0,-247.44,-10.84,16.67,408.07,A2356raw14.mat_Line1668,583.953294259788
25,12,0,-245.71,-10.912,16.68,395.51,A2356raw14.mat_Line1669,579.493483533103
25,12,0,-242.82,-10.991,16.69,527.48,A2356raw15.mat_Line1670,572.070951738028
25,12,0,-243.64,-11.078,16.7,377.66,A2356raw14.mat_Line1671,574.136921425922
25,12,0,-243.25,-11.141,16.71,377.66,A2356raw14.mat_Line1672,573.117936217891
25,12,0,-244.16,-11.221,16.72,383.57,A2356raw14.mat_Line1673,575.417634346009
25,12,0,-245.38,-11.31,16.73,392.87,A2356raw14.mat_Line1674,578.509315195314
25,12,0,-246.87,-11.387,16.74,403.58,A2356raw14.mat_Line1675,582.299377072925
25,12,-0,-248.19,-11.463,16.75,412.89,A2356raw14.mat_Line1676,585.657543460673
25,12,0,-248.34,-11.541,16.76,417.54,A2356raw14.mat_Line1677,586.016432210577
25,12,0,-248.68,-11.608,16.77,416.14,A2356raw14.mat_Line1678,586.866545344738
25,12,0,-248.1,-11.674,16.78,408.53,A2356raw14.mat_Line1679,585.357916889008
